,n_features,mi_sum,mi_max,rf_importance
bureau_depth,11,0.028729305916749937,0.00459732995570139,0.257421498638511
credit_utilisation,6,0.02696780163295176,0.006862560825366293,0.1647244463695172
prev_app,7,0.018662119676962297,0.0049202623346948915,0.24901164748723367
payment_shortfall,5,0.01851773065197393,0.006212243894569314,0.08946100093862758
delinquency,10,0.012927295794452842,0.005715780180829189,0.07426551796786866
repay_consistency,7,0.007426573692371319,0.003597384137645765,0.16511588859824203
