model,accuracy,precision,recall,f1,roc_auc,pr_auc,defaults_caught,false_alarms
Logistic Regression,0.7028504490433425,0.2039447731755424,0.6611253196930946,0.3117274645764245,0.741153011294927,0.25932929175858777,517/782,2018
Random Forest,0.814135103475205,0.2585949177877429,0.4424552429667519,0.3264150943396226,0.7479271138657766,0.269650538785187,346/782,992
XGBoost,0.7232851750618248,0.2120822622107969,0.6329923273657289,0.3177150192554557,0.7550786775777705,0.2823745536192817,495/782,1839
